frame,x,y,prob
49,654,715,0.22081737
50,654,715,0.21320832
51,654,715,0.21113312
53,654,715,0.21720634
55,654,715,0.2090629
112,653,714,0.20997772
115,653,714,0.20638607
116,653,714,0.20075397
337,573,747,0.20330986
353,573,747,0.20198865
429,573,747,0.21794103
430,573,747,0.21239343
431,653,714,0.2240681
431,573,747,0.21326783
432,653,714,0.21758936
432,573,747,0.21392865
433,573,747,0.20743565
434,573,747,0.20572254
434,653,714,0.20312442
458,394,415,0.39728844
459,396,394,0.4375567
702,422,523,0.22724143
705,442,536,0.538838
706,447,541,0.58879375
707,452,546,0.620594
708,458,552,0.259324
717,513,627,0.4922728
718,521,638,0.2726005
721,541,674,0.24250273
723,534,667,0.21984604
726,487,564,0.6101894
727,478,542,0.41705295
728,474,522,0.23471744
1270,374,105,0.30035007
1271,371,96,0.32531917
1272,366,87,0.29710504
1274,357,76,0.35091585
1385,422,475,0.25574252
1393,454,521,0.4523532
1394,457,527,0.4804997
1395,463,535,0.7018299
1396,467,544,0.67854047
1397,472,554,0.5780152
1398,476,564,0.71984506
1399,481,574,0.489613
1400,483,585,0.60996604
1401,487,596,0.20140913
1402,486,593,0.23528287
1403,466,534,0.4931517
1408,413,386,0.5115893
1409,407,372,0.24489552
1504,475,517,0.42698836
1505,482,524,0.54303944
1506,486,528,0.28073466
1583,437,505,0.20690726
1584,437,514,0.34606168
1585,437,523,0.20479518
1589,421,382,0.41902387
1595,415,277,0.5367964
1596,416,271,0.42462328
1632,416,273,0.20027354
1788,418,526,0.46503314
1790,421,538,0.31331494
1791,422,546,0.34205854
1792,424,553,0.281546
1793,425,561,0.428189
1986,374,532,0.47377774
1987,375,541,0.28568164
2113,574,746,0.20470124
2115,574,747,0.21579865
2125,574,746,0.22020784
2126,574,746,0.23220406
2127,574,746,0.2320035
2128,574,746,0.21183452
2129,574,746,0.2566519
2130,574,746,0.22285537
2133,574,746,0.23969917
2136,574,746,0.22556593
2138,574,746,0.2193546
2139,574,746,0.2036408
2168,574,746,0.2077703
2169,574,746,0.22292137
2170,574,746,0.27614036
2171,574,746,0.3103522
2172,574,746,0.28632495
2173,574,746,0.28755027
2174,574,746,0.31258625
2175,574,746,0.31119823
2176,574,746,0.3239155
2177,574,747,0.355543
2178,574,747,0.42277732
2179,574,747,0.4536312
2180,574,747,0.44571245
2181,574,747,0.46788347
2182,574,747,0.4505518
2183,574,747,0.40137184
2184,574,747,0.37811357
2185,574,747,0.43209645
2186,574,747,0.41284737
2187,574,747,0.37954545
2188,574,747,0.3916047
2189,574,746,0.3065115
2190,574,746,0.24119018
2191,574,746,0.24568477
2192,574,746,0.2594449
2193,574,746,0.22376084
2194,574,746,0.21133865
2211,574,746,0.2054181
2316,514,392,0.21227887
2317,506,374,0.21357597
2348,414,272,0.2540306
2350,414,275,0.27677798
2351,413,277,0.26379928
2359,406,304,0.2024547
2915,574,746,0.21018833
2953,445,636,0.3591374
2953,574,747,0.21270658
2962,376,376,0.2822091
3073,607,755,0.22808017
3074,608,756,0.37936562
3075,608,755,0.24946216
3081,536,506,0.2989653
3082,545,512,0.25795156
3083,553,517,0.23323733
3084,562,526,0.20164394
3085,572,534,0.28423244
3158,401,1025,0.21091433
3163,407,1032,0.2208769
3205,392,394,0.2047313
3513,382,393,0.22598289
3584,586,514,0.3444135
3585,597,521,0.30875516
3586,612,526,0.4692514
3587,625,534,0.3729701
3588,636,543,0.47392237
3851,675,446,0.27206698
3852,674,446,0.34825978
3853,672,446,0.2749247
3866,673,446,0.20372607
3867,673,446,0.32398784
3868,674,447,0.31621477
3869,674,447,0.43258896
3995,365,562,0.5164828
3996,353,558,0.36921376
3997,333,555,0.5137476
3998,314,552,0.4128357
3999,303,551,0.29967442
4000,284,549,0.31314015
4001,272,548,0.27669665
4675,435,633,0.2698208
4676,437,643,0.31410825
4681,451,607,0.21152866
4682,447,575,0.38165307
4784,329,554,0.30228737
4787,324,574,0.2613696
4788,322,582,0.20836695
5191,407,392,0.2657469
5214,496,374,0.5917827
5215,501,378,0.42690855
5216,506,385,0.6000239
5217,512,392,0.5000632
5218,513,397,0.46790728
5222,476,384,0.26214415
5227,406,324,0.2496886
5333,417,1032,0.22338238
5334,421,1033,0.22254354
5643,575,747,0.20308217
5712,574,747,0.26374325
5713,574,747,0.28602883
5714,574,747,0.34524813
5715,574,747,0.25507808
5716,575,747,0.21919917
5717,575,747,0.34653977
5718,575,747,0.39827007
5719,574,747,0.47271386
5720,575,747,0.38979816
5721,575,746,0.27190518
5722,575,746,0.23052056
5723,575,746,0.20748515
5729,575,746,0.20501976
5802,438,103,0.2359855
5861,458,103,0.33278394
5862,458,123,0.2806321
5869,382,105,0.29050878
5870,411,1023,0.26585874
5871,374,102,0.33536667
5872,371,101,0.22632125
5873,369,101,0.26088253
5875,392,1032,0.27789786
5876,391,1033,0.27893308
5881,381,1035,0.33597636
5882,377,1034,0.39038047
5883,376,1034,0.33066827
5902,375,1033,0.21139823
5903,375,1033,0.20861845
5904,377,1033,0.23996252
5905,381,1034,0.28385496
5910,391,1033,0.3045598
5997,575,747,0.2097979
6473,575,747,0.20541947
6477,575,746,0.21629868
6482,575,747,0.21382599
6483,575,747,0.20093341
6484,575,747,0.25752905
6485,575,747,0.25629917
6486,575,747,0.24927072
6487,575,747,0.24448583
6488,575,747,0.2729409
6489,575,747,0.27019402
6490,575,747,0.25486124
6491,575,747,0.22843221
6492,575,746,0.25183868
6493,575,746,0.20142175
6499,575,747,0.23869526
6502,575,746,0.2057858
6580,453,1032,0.23702718
7000,632,92,0.45916015
7001,634,102,0.45883125
7126,605,522,0.20588055
7127,612,527,0.43272653
7128,618,534,0.41489166
7129,626,543,0.5661882
7130,632,551,0.46407598
7353,421,384,0.21298231
7753,487,377,0.22533967
7755,486,383,0.2885376
7756,484,386,0.56088555
7757,484,388,0.22459243
7758,482,392,0.3023725
7881,407,304,0.3174588
8358,461,137,0.42828467
8359,452,127,0.5406655
8360,447,121,0.31689724
8361,441,113,0.2958612
8362,435,106,0.42981824
8363,431,101,0.21780916
8364,426,96,0.21931304
8820,426,142,0.27777556
8839,431,274,0.28042823
8854,436,383,0.21279882
8877,406,722,0.2610008
8878,406,722,0.25216913
8879,406,722,0.2027616
8880,406,722,0.34486252
8881,406,722,0.37364906
8882,406,722,0.2557947
8922,406,722,0.35222876
8923,406,722,0.2092921
9040,406,722,0.23438069
9042,543,542,0.25710273
9053,498,377,0.38245803
9078,406,722,0.21972696
9214,483,381,0.23552893
9228,536,522,0.21895552
9229,538,535,0.45970896
9230,543,552,0.44077742
9231,545,565,0.6079947
9233,554,596,0.31830588
9234,557,616,0.43992233
9236,512,516,0.22255902
9240,463,387,0.22895604
9250,415,282,0.2543331
9549,362,517,0.2674258
9550,362,527,0.41661617
9551,361,536,0.573916
9552,361,547,0.4556674
9553,358,558,0.40290198
9554,358,571,0.43033183
9555,357,582,0.3107115
9556,356,594,0.46281317
9557,356,606,0.57283646
9558,355,617,0.61673987
9561,353,661,0.3687937
9562,352,673,0.35409063
9563,352,686,0.3001181
9565,347,642,0.2009029
9566,346,593,0.2885112
9567,334,553,0.705743
9568,337,515,0.3353939
9572,341,425,0.38045546
9573,341,407,0.382255
9574,340,393,0.42690533
9805,357,515,0.6220099
9806,357,527,0.59143376
9807,356,542,0.5820567
9808,356,554,0.69546664
9809,356,567,0.51955235
9810,353,563,0.22117169
9811,353,532,0.35463217
10322,421,372,0.2599472
10323,421,375,0.38208914
10324,418,378,0.27394155
10325,418,384,0.22715129
10327,416,393,0.28025538
10493,503,367,0.3374779
10495,498,374,0.3945451
10496,496,377,0.46750423
10497,494,381,0.32921258
10498,492,384,0.33161405
10499,488,387,0.2925626
10670,575,747,0.226313
10671,575,747,0.24863899
10672,575,747,0.2573428
10673,575,747,0.28741857
10674,575,747,0.21237144
10896,430,141,0.21011113
10898,434,107,0.3408947
10899,435,94,0.48526955
10900,437,77,0.34805724
10901,438,72,0.28634018
11075,485,535,0.40002695
11076,482,541,0.43616867
11077,478,546,0.38823795
11078,476,551,0.41197968
11079,475,555,0.65851736
11080,474,558,0.4128803
11081,472,563,0.41890857
11082,471,567,0.33040425
11083,468,573,0.3746234
11084,467,576,0.3051346
11372,346,95,0.2118647
11458,575,746,0.22897567
11459,575,746,0.23084688
11460,575,746,0.20590246
11556,428,527,0.37018558
11557,431,534,0.32392734
11573,477,534,0.5391022
11646,552,511,0.3798976
11647,541,514,0.28409627
11651,503,526,0.2566179
11652,496,528,0.2390054
11653,491,533,0.28802043
11654,483,536,0.2875943
11655,478,539,0.29119483
11656,473,543,0.5777429
11657,468,546,0.39383158
11658,464,548,0.29200068
11659,461,552,0.2916623
11713,463,85,0.24682301
11715,463,84,0.21971872
11716,463,85,0.29529163
11717,463,86,0.24451336
12013,443,95,0.2934152
12193,381,544,0.25907302
12204,394,411,0.22213283
12206,396,392,0.29240048
12207,397,384,0.41249114
12301,294,105,0.2247142
12307,575,747,0.23673101
12308,575,747,0.2550527
12309,575,747,0.27658182
12310,575,747,0.206585
12314,575,747,0.21177754
12315,575,747,0.25161165
12316,575,747,0.40108702
12317,575,747,0.38908827
12318,575,747,0.37407246
12319,575,747,0.36243957
12319,273,93,0.22751369
12320,575,747,0.3100121
12321,575,747,0.28372222
12322,575,747,0.28350142
12323,575,747,0.3286891
12324,575,747,0.3615409
12325,575,746,0.23460244
12357,575,746,0.24483633
12364,575,746,0.22230768
12365,575,746,0.20500417
12367,575,746,0.21728957
12368,575,746,0.22213076
12369,575,746,0.21341613
12371,575,746,0.20964234
12379,575,746,0.21911606
12380,575,746,0.22237635
12381,575,746,0.25290528
12382,575,746,0.26054445
12383,575,746,0.24965157
12384,575,746,0.24753667
12385,575,746,0.24544032
12386,575,746,0.25057977
12387,575,746,0.2572681
12388,575,746,0.23979276
12389,575,746,0.22528404
12390,575,746,0.22409013
12391,575,746,0.22794496
12392,575,746,0.20866437
12394,575,746,0.21023448
12397,575,746,0.20260976
12399,575,746,0.20911777
12401,575,746,0.2176896
12402,575,746,0.23739035
12407,575,746,0.24341252
12408,575,746,0.27205953
12409,575,746,0.23915114
12410,575,746,0.23597965
12411,575,746,0.22144738
12412,575,746,0.21368806
12428,575,746,0.20652774
12429,575,746,0.21716483
12430,575,746,0.24234219
12431,575,746,0.20522195
12432,575,746,0.21038836
12435,575,746,0.27512085
12436,575,746,0.29198506
12437,575,746,0.20932907
12438,575,746,0.24768724
12441,575,747,0.21028131
12442,575,747,0.27091068
12444,575,747,0.23530158
12445,575,747,0.2379271
12446,575,747,0.26377964
12447,575,747,0.21809606
12481,417,724,0.21814139
12500,575,746,0.20328172
12728,435,775,0.22052006
12755,575,747,0.20855132
12757,575,746,0.25218737
12758,575,747,0.2178498
12784,575,747,0.24326245
12785,575,747,0.34549513
12786,575,747,0.37059823
12787,575,747,0.40133217
12788,575,747,0.3586145
12789,575,747,0.35165355
12790,575,747,0.35755864
12791,575,747,0.37863442
12792,575,747,0.32725313
12793,575,747,0.380726
12794,575,746,0.32078907
12795,575,747,0.2356921
12796,575,747,0.23329051
12797,575,747,0.24581832
12798,575,747,0.24080141
12799,575,747,0.24114464
12800,575,747,0.2119186
12815,575,747,0.20142917
12826,575,747,0.24173386
12861,575,747,0.24204397
12866,575,747,0.20611702
12867,575,747,0.24950418
12868,575,747,0.20194517
12871,575,747,0.23388903
12872,575,747,0.22917025
12873,575,747,0.23711143
12874,575,747,0.2656745
12875,575,747,0.26593062
12876,575,747,0.34496352
12877,575,747,0.40181857
12878,575,747,0.43240255
12879,575,747,0.42008397
12880,575,747,0.4067264
12881,575,747,0.35441616
12882,575,747,0.39313468
12883,575,747,0.3706137
12884,575,747,0.3433749
12885,575,747,0.33257365
12886,575,747,0.36072588
12887,575,747,0.33771476
12888,575,747,0.32870427
12889,575,747,0.29326388
12890,575,747,0.2191292
12899,575,746,0.20648614
12983,434,134,0.27514055
12985,436,112,0.27563432
12986,438,98,0.38723907
12987,438,94,0.40726593
13148,292,535,0.21685795
13218,503,523,0.2096064
13220,506,537,0.42496705
13221,506,547,0.32494417
13222,513,556,0.26861084
13233,516,527,0.50209665
13268,575,747,0.21228112
13269,575,747,0.23155572
13270,575,747,0.23257655
13271,575,747,0.2790509
13403,575,746,0.22866097
13422,511,532,0.22783323
13423,505,538,0.28379062
13424,502,545,0.43211362
13426,496,556,0.24762903
13437,492,554,0.25645646
13455,575,746,0.20087557
13526,442,562,0.39460203
13701,575,746,0.21684009
13708,491,388,0.3759605
13709,494,381,0.44179913
13834,497,472,0.3664702
13835,498,478,0.2616481
13836,502,487,0.2801989
13837,504,496,0.30212364
13838,506,505,0.39790475
13839,507,514,0.4322318
13840,511,524,0.5345403
13841,512,534,0.6696949
13842,513,545,0.7211272
13843,515,556,0.70656544
13844,517,567,0.29967725
13845,522,583,0.22187619
13846,523,597,0.32089376
13847,524,607,0.3348077
13848,497,571,0.30200914
13854,386,376,0.22374193
13882,575,746,0.29843962
13883,575,746,0.25324526
13884,575,746,0.2288939
13885,575,747,0.21637976
13886,575,746,0.26379928
13887,575,747,0.26879495
13888,575,747,0.20473047
13952,355,106,0.2387802
13953,359,87,0.27027255
14023,621,94,0.46971047
14024,624,113,0.6120942
14025,626,126,0.5483929
14092,337,536,0.23995714
14094,336,546,0.3549218
14095,336,552,0.24265206
14096,336,557,0.21547626
14101,334,595,0.22155751
14150,575,747,0.20898126
14152,575,747,0.20224695
14160,575,747,0.2094477
14175,575,746,0.23092787
14176,575,746,0.2120013
14230,575,746,0.28219202
14231,575,746,0.22938202
14233,575,746,0.25700253
14234,575,746,0.24104378
14235,575,746,0.21066701
14238,575,746,0.21210383
14260,575,746,0.2119384
14261,575,746,0.20781668
14262,575,746,0.2190695
14263,575,746,0.28734213
14264,575,746,0.2792618
14270,575,746,0.21959808
14271,575,746,0.24807721
14273,575,746,0.21721867
14274,575,746,0.22222933
14276,575,746,0.2169913
14290,575,747,0.22532995
14291,575,747,0.24244784
14292,575,747,0.22711298
14293,575,747,0.27001515
14294,575,747,0.31233478
14295,575,747,0.461069
14296,575,747,0.42851618
14297,575,747,0.3550882
14298,575,747,0.39371446
14299,575,746,0.22733863
14300,575,747,0.33835357
14301,575,747,0.36556724
14302,575,747,0.34620064
14303,575,747,0.2592009
14304,575,747,0.24485157
14305,575,746,0.23127452
14306,575,747,0.33128577
14307,575,746,0.335164
14308,575,746,0.37560597
14309,575,747,0.51759446
14310,575,747,0.4917408
14311,575,747,0.28625217
14312,575,747,0.30255622
14313,575,747,0.3420858
14314,575,746,0.34310892
14316,575,747,0.25281826
14317,575,746,0.20081727
14318,575,746,0.2025007
14319,575,747,0.2927326
14320,575,747,0.28452706
14321,575,747,0.36429742
14322,575,747,0.48292726
14327,575,747,0.27202863
14329,575,747,0.23172756
14339,575,747,0.24577236
14340,575,747,0.31877616
14341,575,747,0.3892173
14342,575,746,0.20655455
14343,575,747,0.20070665
14517,575,746,0.20998973
14520,575,746,0.20683855
14526,575,746,0.22924194
14592,495,1023,0.3590648
14593,555,1054,0.27690646
14594,605,1075,0.41747662
14676,383,113,0.230827
